NUMBER;NAME;DESIG;FAM;S;CLASS;S;F;DIA.;S;H;B;S;F;ALBEDO;F;PERIOD;P;DESC;F;AMIN;AMAX;U;NOTES;BIN;PRI;SAM;SD;WF
13855;1999 XX105;1999 XX105;V;A;S;C;;3.32;T;14.76;;A;;0.2;;3.023;;;;;0.31;2;;;;;;Y
13892;1266 T-2;1266 T-2;V;A;S;C;;3.37;T;14.73;;A;;0.2;;2.35;;;;;0.28;2;;;;;;Y
13894;2039 T-2;2039 T-2;V;A;S;C;;3.85;T;14.43;;A;;0.2;;5.478;;;;;0.58;2;;;;;;Y
14044;1995 VS1;1995 VS1;V;A;S;C;;4.3;M;14.2;;A;;0.2;S;9.2587;;;;;;2;N;;;Y;Y;
14055;1996 AS;1996 AS;V;A;S;C;;2.82;T;15.12;;A;;0.2;;6.05;;;;;0.78;2;;;;;;Y
14158;Alananders;on                   1998 SZ133;V;A;S;C;;4.29;M;14.2;;A;;0.2;;17.5;;;;;0.18;2;+;;;;;
14218;1999 VS30;1999 VS30;V;A;S;C;;3.8;T;14.47;;A;;0.2;;6.245;;;;;0.1;2;;;;;;Y
14301;5205 T-2;5205 T-2;V;A;S;C;;2.63;T;15.26;;A;;0.2;;25.546;;;;;1.1;2;;;;;;Y
14383;1990 OY3;1990 OY3;V;A;S;C;;3.94;T;14.39;;A;;0.2;;8.713;;;;0.29;0.32;2;;;;;;Y
14385;1990 QG1;1990 QG1;V;A;S;C;;3.57;T;14.6;;A;;0.2;;3.78;;;;0.32;0.33;2;;;;;;Y
14511;Nickel;1996 EU3;V;A;S;C;;4.1;M;14.3;;A;;0.2;;35.59;;;;0.64;0.72;2;;;;;;Y
14568;Zanotta;1998 OK;V;A;S;C;;3.4;T;14.71;;A;;0.2;;3.523;;;;;0.12;2;;;;;;Y
15032;* Alexlevin;1998 VV28;V;A;S;C;;3.74;M;14.5;;A;;0.2;S;4.4055;;;;;;2;N;;;Y;;
15132;Steigmeyer;2000 EZ69;V;A;S;C;;2.15;M;15.7;;A;;0.2;;115;;;;;0.62;1;+;;;;;
15411;1997 YL1;1997 YL1;V;A;S;C;;3.86;T;14.43;;A;;0.2;;4.389;;;;;0.19;2;;;;;;Y
15796;* 1993 TZ38;1993 TZ38;V;A;S;C;;5.66;M;13.6;;A;;0.2;S;6.2128;;;;;;2;N;;;Y;;
15860;Siran;1996 HO;V;A;S;C;;2.68;T;15.22;;A;;0.2;;10.532;;;;0.56;0.75;2;;;;;;Y
16462;1990 DZ1;1990 DZ1;V;A;S;C;;4.23;T;14.23;;A;;0.2;;62.366;;;;;0.97;2;;;;;;Y
16582;1992 JS3;1992 JS3;V;A;S;C;;4.5;M;14.1;;A;;0.2;;6.252;;;;;0.27;3;-;;;;;
16977;1999 AS3;1999 AS3;V;A;S;C;;4.4;T;14.15;;A;;0.2;;50.07;;;;;0.25;2;;;;;;Y
17035;Velichko;1999 FC10;V;A;V;C;;4.19;M;13.5;;A;;0.4;;2.899;;;;0.23;0.29;2;;;;;;
17079;Lavrovsky;1999 HD9;V;A;S;C;;3.92;M;14.4;;A;;0.2;;4.18;;;;;0.45;2;+;;;;;
17139;* Malyshev;1999 JS86;V;A;S;C;;3.74;M;14.5;;A;;0.2;S;4.2026;;;;;;2;N;;;Y;;
17226;2000 CC76;2000 CC76;V;A;S;C;;4.74;T;13.99;;A;;0.2;;2.926;;;;;0.26;2;;;;;;Y
17348;4166 T-3;4166 T-3;V;A;S;C;;3.02;T;14.97;;A;;0.2;;3.58;;;;;0.15;2;;;;;;Y
17469;1991 BT;1991 BT;V;A;S;C;;6.03;T;13.46;;A;;0.2;;17.172;;;;;0.23;2;;;;;;Y
17592;1995 DR;1995 DR;V;A;S;C;;2.46;T;15.41;;A;;0.2;;3.25;;;;;0.1;2;;;;;;Y
17727;* 1997 YU11;1997 YU11;V;A;S;C;;4.71;M;14;;A;;0.2;S;3.5236;;;;;;2;N;;;Y;;
17869;Descamps;1998 MA14;V;A;S;C;;2.47;T;15.41;;A;;0.2;;11.934;;;;;0.43;2;;;;;;Y
17923;1999 GY16;1999 GY16;V;A;S;C;;4.93;M;13.9;;A;;0.2;>;20;;;>;;0.1;1;;;;;;Y
18527;1996 VJ30;1996 VJ30;V;A;S;C;;4.38;T;14.16;;A;;0.2;;3.3529;;;;;0.13;3;N;B;;;;
18641;1998 EG10;1998 EG10;V;A;S;C;;4.93;M;13.9;;A;;0.2;;5.2461;;;;0.57;0.97;3;;;;Y;;
18671;Zacharyric;e                    1998 FX64;V;A;S;C;;4.71;M;14;;A;;0.2;;3.306;;;;;0.16;2;;;;;;Y
18804;1999 JS77;1999 JS77;V;A;S;C;;5.15;T;13.8;;A;;0.2;;9.404;;;;;0.09;1;;;;;;Y
19298;Zhongkeda;1996 SU4;V;A;S;C;;2.92;T;15.04;;A;;0.2;;78.54;;;;;0.77;2;;;;;;Y
19979;1989 VJ;1989 VJ;V;A;V;C;;5.28;M;13;;A;;0.4;;7.568;;;;;0.29;2;+;;;;;
