NUMBER;NAME;DESIG;FAM;S;CLASS;S;F;DIA.;S;H;B;S;F;ALBEDO;F;PERIOD;P;DESC;F;AMIN;AMAX;U;NOTES;BIN;PRI;SAM;SD;WF
16541;1991 PW18;1991 PW18;KOR;A;S;C;;7.14;M;12.9;;A;;0.24;;7.01;;;;0.33;0.51;2;;;;;;
16626;Thumper;1993 HJ3;KOR;A;S;C;;4.03;T;14.14;;A;;0.24;;6.813;;;;0.37;0.47;2;;;;;;Y
16909;Miladejage;r                    1998 DX33;KOR;A;S;C;;5.41;T;13.5;;A;;0.24;;6.786;;;;;0.38;2;;;;;;Y
16917;1998 FB29;1998 FB29;KOR;A;S;C;;4.63;T;13.84;;A;;0.24;;321.546;;;;;0.69;2;;;;;;Y
17122;1999 JH63;1999 JH63;KOR;A;S;C;;4.84;T;13.74;;A;;0.24;;290.079;;;;;0.09;1;;;;;;Y
17163;Vasifedose;ev                   1999 LT19;KOR;A;S;C;;3.67;T;14.34;;A;;0.24;;4.112;;;;;0.23;2;;;;;;Y
17246;Christophe;dumas                2000 GL74;KOR;A;S;C;;4.81;M;13.9;;L;;0.21;>;10;;;>;;0.15;;;B;;;;
17605;1995 SR26;1995 SR26;KOR;A;S;C;;3.31;T;14.57;;A;;0.24;;6.319;;;;;0.58;2;;;;;;Y
17694;Jiranek;1997 ET1;KOR;A;S;C;;4.07;T;14.12;;A;;0.24;;4.65;;;;;0.33;2;;;;;;Y
18092;* Reinhold;2000 KR29;KOR;A;S;C;;4.71;M;13.8;;A;;0.24;S;18.2064;;;;;;2;N;;;Y;;
18930;Athreya;2000 QW27;KOR;A;S;C;;2.94;T;14.82;;A;;0.24;;13.232;;;;0.65;0.79;2;;;;;;Y
19083;Mizuki;1977 DA4;KOR;A;S;C;;4.71;T;13.8;;A;;0.24;;3.047;;;;;0.25;2;;;;;;Y
20774;2000 RP3;2000 RP3;KOR;A;S;C;;4.44;T;13.93;;A;;0.24;;3.789;;;;;0.17;2;;;;;;Y
20796;Philipmuno;z                    2000 SN169;KOR;A;S;C;;3.36;T;14.53;;A;;0.24;;272.799;;;;;0.46;2;;;;;;Y
21566;1998 QM103;1998 QM103;KOR;A;S;C;;3.76;T;14.29;;A;;0.24;;3.084;;;;;0.25;2;;;;;;Y
21580;Portalatin;1998 SY57;KOR;A;S;C;;5.29;T;13.55;;A;;0.24;;3.627;;;;;0.28;2;;;;;;Y
22497;Immanuelfu;chs                  1997 KG;KOR;A;S;C;;3.95;T;14.18;;A;;0.24;;5.952;;;;;0.26;2;;;;;;Y
22899;Alconrad;1999 TO14;KOR;A;S;C;;4.71;M;13.8;;A;;0.24;;4.03;;;;0.14;0.19;2;;B;;;;
23056;1999 XL44;1999 XL44;KOR;A;S;C;;3.75;T;14.3;;A;;0.24;;6.647;;;;;0.42;2;;;;;;Y
23164;Badger;2000 GR73;KOR;A;S;C;;3.26;M;14.6;;A;;0.24;;9.351;;;;;0.5;2;;;;;;Y
23543;1993 UK;1993 UK;KOR;A;S;C;;5.98;T;13.29;;A;;0.24;;6.034;;;;;0.22;2;;;;;;Y
